Library,language of resource,ISBN,Title,Title transliteration,Subtitle,Subtitle transliteration,Parallel title (dual language only),Parallel title transliteration,Parallel subtitle (dual language only),Parallel subtitle transliteration,Country of publication,State (US/UK/Canada & Australia only),Place of publication,Publisher's name,Year of publication,Year of copyright,Number of pages,Size (height),Illustrations,Series title,Series enumeration,Volume,Note,Sale code,Date of auction,HOL notes,Donor note,Barcode
ARTBL,English,9788181740489,Dare to care,,an initiative for the adolescent girl -- a charity fundraising gala event,,,,,,India,,Mumbai,Osian's - Connoisseurs of Art Private Limited,2013?,2013,106,32cm,Full,,,,UNICEF in partnership with Delhi Daredevils. A musical performance by UNICEF Goodwill Ambassador Ms Priyanka Chopra. With entertainment programme by Wizcraft.,,20130416,,,308241109
ARTBL,English,9788181740472,Osian's forty masterpieces*//*Osian's 40 masterpieces,,Indian miniatures and modern art,,,,,,India,,Mumbai,Osian's - Connoiseurs of Art Pvt. Ltd.,2013?,2013,114,28cm,Full,,,,,,20130413,,,308241110
ARTBL,English,,Treasures from the Hoi An hoard,,important Vietnamese ceramics from a late 15th / early 16th century cargo: Session I,,,,,,USA,,California,Butterfield's Auctioneers Corp.,2000?,2000,334,28cm,Full,,,Volume O67B,Session I: Barbed Rim Dishes 1-47; Pouring Vessels 48-174; Bottles 175-350; Jars 351-580; Enameled Dishes 581-658,7130O,20001011,,,308241111
ARTBL,English,,Treasures from the Hoi An hoard,,important Vietnamese ceramics from a late 15th / early 16th century cargo: Session II,,,,,,USA,,California,Butterfield's Auctioneers Corp.,2000?,2000,248,28cm,Full,,,Volume O67A,Session II: Shipware & Concretions 700-733; Dishes 734-1317; Bowls and Cups 1318-1700; Session III: Figural Ceramics 1701-1777; Covered Boxes 1773-2327,7130O,"20001012, 20001013",,,308241112
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,1994?,,68,27cm,Full,,,,Céramiques Iraniennes et Turques; bronzes Seldjoukides;textiles; armes et armures; collection d'un ambassadeur: argenterie Russe et Ottomand; bijoux; argenterie de Van; art Arménien; métaux Islamiques; verrerie;boiseries Ottomanes; Collections E. et X.: miniatures et calligraphies; orientalisme,,19940302,,,308241114
ARTBL,French,,Arts de l'Islam,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,1993?,,68,27cm,Full,,,,Céramiques du monde Musulman; céramiques Ottomanes provenant de l'ancienne collection Beyhum; verrerie Islamique et de Bohême; argenterie Ottomane; bijoux; émaux Ottomanes; art Arménien et Byzantin; metaux et armes; miniatures et manuscrits; bois et laques; important ensemble de boiseries Ottomanes provenant d'une demeure de Pérouse; Orientalisme; textiles et tapis,,19931216,,,308241115
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,1992?,,51,27cm,Full,,,,Arts de l'Islam: céramiques Seldjoukides; monnaies en or Seldjoukindes et Ottomanes; orfèvrerie et métaux; laques et aquarelles Kadjar; miniatures Persanes et Indiennes; céramiques du 16e au 19e siècle; textiles; Orientalisme: peintures et photographies; archéologie: mosaïques Byzantines; glyptique; bronzes du Luristan; terres cuites Syriennes; art Egyptien; verrerie antique et Islamique,,19920619,,,308241116
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,1991?,,31,27cm,Full,,,,"Arts de l'Islam: céramiques et verrerie du 16e au 19e siècle; laques Kadjar et miniatures; métaux Ottomans et Iraniens; arts du Maroc: métaux - poteries - bijoux, ceintures brochées de Fès; textiles et tapis; Orientalism: collection d'aquarelles de Lea Lafugie; Mobilier; Archéologie: glyptique, verrerie - bronzes - terres cuites",,19911117,,,308241117
ARTBL,French,,Art d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,1990?,,57,27cm,Full,,,,"Archéologie: une exceptionnelle statue votive Sumérienne du milieu du 3e millénaire avant Jésus-Christ; art Persan: céramiques de l'ancienne collection Charles Kettaneh, laques et métaux du 18e-19e siècle; art Ottoman: céramiques d'Iznik, verrerie de Beykoz, argenterie et métaux, mobilier - textiles, tableaux - gravures, céramiques orientalistes; arts du Maghreb: collection T., important ensemble de poteries de Fès et de bijoux Citadins et Berbères du Maroc, tableaux - gravures; arts de l'Inde: rare chasse-mouches Moghol en jade, métaux - textiles, calligraphies et miniatures",,19900504,,,308241118
ARTBL,German,,Auktion 348,,antike Münzen,,,,,,Germany,,Munich,Gerhard Hirsch Nachfolger München,2019?,,231,27cm,Full,,,,"Keltische Münzen (Kat.Nr. 1-15), griechische Münzen (Kat.Nr. 16-479), römische Münzen (Kat.Nr. 480-1019), byzantinische Münzen (Kat.Nr. 1020-1054), Kaiserreich Nicaea (Kat.Nr. 1055), Völkerwanderung (Kat.Nr. 1056-1058), byzantinische Bleisiegel (Kat.Nr. 1059-1061), Lots (Kat.Nr. 1062-1102)",348,20190508,,,308241119
